customer_id,customer_name,signup_date,country,status
1,Customer_00001,2023-11-01,Australia,active
2,Customer_00002,2024-01-01,UAE,active
3,Customer_00003,2023-07-01,UAE,active
4,Customer_00004,2024-03-01,United Kingdom,active
5,Customer_00005,2024-06-01,UAE,active
6,,2023-03-01,United Kingdom,active
7,Customer_00007,2023-03-01,Canada,churned
8,Customer_00008,2023-04-01,India,active
9,Customer_00009,2023-07-01,Australia,churned
10,Customer_00010,2023-07-01,UAE,active
11,Customer_00011,2024-04-01,UAE,active
12,Customer_00012,2023-06-01,United Kingdom,churned
13,Customer_00013,2024-06-01,Australia,active
14,Customer_00014,2024-04-01,United States,active
15,Customer_00015,2024-07-01,United Kingdom,active
16,Customer_00016,2024-08-01,Australia,active
17,Customer_00017,2023-02-01,India,active
18,Customer_00018,2024-02-01,United States,active
19,Customer_00019,2024-06-01,Canada,active
20,Customer_00020,2023-01-01,Egypt,active
21,Customer_00021,2023-04-01,UAE,active
22,Customer_00022,2023-06-01,United Kingdom,churned
23,Customer_00023,2023-05-01,Germany,active
24,Customer_00024,2024-05-01,United States,active
25,Customer_00025,2023-03-01,UAE,active
26,Customer_00026,2024-07-01,Germany,active
27,Customer_00027,2023-08-01,India,churned
28,Customer_00028,2023-12-01,UAE,churned
29,Customer_00029,2023-09-01,India,active
30,Customer_00030,2023-07-01,India,active
31,Customer_00031,2024-06-01,Australia,active
32,Customer_00032,2023-08-01,United Kingdom,churned
33,Customer_00033,2024-08-01,Egypt,active
34,Customer_00034,2024-01-01,UAE,churned
35,Customer_00035,2023-08-01,Egypt,active
36,Customer_00036,2024-06-01,United Kingdom,active
37,Customer_00037,2023-06-01,UAE,active
38,Customer_00038,2023-07-01,Germany,churned
39,Customer_00039,2024-06-01,Australia,active
40,Customer_00040,2023-04-01,Egypt,churned
41,Customer_00041,2024-06-01,India,active
42,Customer_00042,2023-01-01,Australia,active
43,Customer_00043,2023-01-01,Australia,active
44,Customer_00044,2023-03-01,United States,active
45,Customer_00045,2024-01-01,Australia,active
46,Customer_00046,2024-06-01,Germany,active
47,Customer_00047,2024-05-01,Canada,active
48,Customer_00048,2024-01-01,United States,active
49,Customer_00049,2024-01-01,Germany,active
50,Customer_00050,2024-08-01,Germany,active
51,Customer_00051,2024-07-01,Australia,active
52,Customer_00052,2023-02-01,India,churned
53,Customer_00053,2023-12-01,UAE,active
54,Customer_00054,2023-08-01,United Kingdom,active
55,Customer_00055,2023-03-01,India,active
56,Customer_00056,2024-04-01,Australia,active
57,Customer_00057,2023-11-01,United Kingdom,active
58,Customer_00058,2024-02-01,Canada,active
59,Customer_00059,2023-11-01,UAE,churned
60,Customer_00060,2023-02-01,India,active
61,Customer_00061,2024-06-01,Egypt,active
62,Customer_00062,2023-09-01,Australia,active
63,Customer_00063,2023-05-01,Germany,active
64,Customer_00064,2024-01-01,India,active
65,Customer_00065,2023-07-01,United Kingdom,active
66,Customer_00066,2024-02-01,Australia,active
67,Customer_00067,2023-11-01,Germany,active
68,Customer_00068,2023-10-01,United States,active
69,Customer_00069,2023-02-01,Canada,active
70,Customer_00070,2023-04-01,United States,active
71,Customer_00071,2024-06-01,United Kingdom,churned
72,Customer_00072,2024-08-01,Germany,active
73,Customer_00073,2023-12-01,Egypt,churned
74,Customer_00074,2023-10-01,Australia,churned
75,Customer_00075,2023-04-01,United States,active
76,Customer_00076,2024-03-01,United Kingdom,active
77,Customer_00077,2024-01-01,United Kingdom,active
78,Customer_00078,2023-11-01,Egypt,churned
79,Customer_00079,2023-06-01,India,active
80,Customer_00080,2023-02-01,UAE,active
81,Customer_00081,2024-08-01,Canada,active
82,Customer_00082,2023-05-01,Canada,active
83,Customer_00083,2024-02-01,UAE,active
84,Customer_00084,2023-02-01,India,active
85,Customer_00085,2024-02-01,Australia,active
86,Customer_00086,2023-04-01,UAE,active
87,Customer_00087,2024-02-01,Canada,active
88,Customer_00088,2023-05-01,India,active
89,Customer_00089,2023-10-01,UAE,churned
90,Customer_00090,2023-09-01,Germany,active
91,Customer_00091,2023-11-01,United Kingdom,active
92,Customer_00092,2023-07-01,Germany,churned
93,Customer_00093,2023-07-01,United Kingdom,active
94,Customer_00094,2023-08-01,Germany,active
95,Customer_00095,2024-01-01,India,active
96,Customer_00096,2024-05-01,Germany,active
97,Customer_00097,2023-08-01,United Kingdom,active
98,Customer_00098,2023-01-01,United Kingdom,active
99,Customer_00099,2023-04-01,UAE,active
100,Customer_00100,2023-03-01,UAE,active
101,Customer_00101,2024-01-01,UAE,active
102,Customer_00102,2024-05-01,United States,active
103,Customer_00103,2023-05-01,Canada,churned
104,Customer_00104,2023-11-01,UAE,active
105,Customer_00105,2023-10-01,Egypt,active
106,Customer_00106,2023-09-01,India,active
107,Customer_00107,2024-06-01,Egypt,churned
108,Customer_00108,2023-06-01,Germany,active
109,Customer_00109,2024-01-01,Germany,churned
110,Customer_00110,2023-11-01,United States,active
111,Customer_00111,2024-06-01,United Kingdom,active
112,Customer_00112,2023-05-01,Egypt,active
113,Customer_00113,2024-07-01,UAE,active
114,Customer_00114,2024-06-01,United States,active
115,Customer_00115,2023-09-01,United Kingdom,active
116,Customer_00116,2024-05-01,India,active
117,Customer_00117,2024-01-01,Canada,churned
118,Customer_00118,2023-07-01,,active
119,Customer_00119,2024-06-01,India,active
120,Customer_00120,2023-01-01,UAE,active
121,Customer_00121,2023-03-01,India,churned
122,Customer_00122,2024-06-01,UAE,active
123,Customer_00123,2024-04-01,UAE,active
124,Customer_00124,2023-06-01,India,active
125,Customer_00125,2024-08-01,Egypt,active
126,Customer_00126,2024-02-01,Germany,churned
127,Customer_00127,2023-05-01,UAE,churned
128,Customer_00128,2024-06-01,United Kingdom,active
129,Customer_00129,2024-08-01,UAE,active
130,Customer_00130,2024-04-01,Germany,active
131,Customer_00131,2024-01-01,Germany,active
132,Customer_00132,2024-06-01,United Kingdom,active
133,Customer_00133,2024-05-01,Canada,active
134,Customer_00134,2023-10-01,Egypt,active
135,Customer_00135,2024-04-01,United Kingdom,active
136,Customer_00136,2024-05-01,Canada,active
137,Customer_00137,2023-01-01,United Kingdom,active
138,Customer_00138,2023-10-01,Germany,active
139,Customer_00139,2024-07-01,Germany,active
140,Customer_00140,2023-06-01,Australia,active
141,Customer_00141,2024-01-01,Canada,active
142,Customer_00142,2023-10-01,India,active
143,Customer_00143,2023-12-01,Canada,active
144,Customer_00144,2023-07-01,Canada,active
145,Customer_00145,2024-01-01,Egypt,active
146,Customer_00146,2024-04-01,Australia,active
147,Customer_00147,2024-03-01,,churned
148,Customer_00148,2024-05-01,India,active
149,Customer_00149,2023-06-01,Australia,active
150,Customer_00150,2023-03-01,Canada,active
151,,2023-11-01,United Kingdom,active
152,Customer_00152,2023-04-01,UAE,active
153,,2024-01-01,India,active
154,Customer_00154,2023-08-01,Australia,active
155,Customer_00155,2024-03-01,India,active
156,Customer_00156,2023-10-01,Australia,active
157,Customer_00157,2023-12-01,UAE,active
158,Customer_00158,2024-08-01,Egypt,active
159,Customer_00159,2024-01-01,United Kingdom,active
160,Customer_00160,2024-07-01,Germany,active
161,Customer_00161,2023-05-01,Egypt,active
162,Customer_00162,2024-08-01,United Kingdom,active
163,Customer_00163,2023-05-01,United Kingdom,active
164,Customer_00164,2024-03-01,United States,active
165,Customer_00165,2023-01-01,Germany,active
166,Customer_00166,2024-02-01,Germany,active
167,Customer_00167,2024-06-01,Egypt,active
168,Customer_00168,2023-06-01,Egypt,active
169,Customer_00169,2023-04-01,Australia,active
170,Customer_00170,2023-08-01,Egypt,active
171,Customer_00171,2023-02-01,United Kingdom,active
172,Customer_00172,2023-01-01,UAE,active
173,Customer_00173,2023-09-01,United States,active
174,Customer_00174,2024-05-01,Egypt,active
175,Customer_00175,2023-09-01,Egypt,active
176,Customer_00176,2023-06-01,Canada,active
177,Customer_00177,2023-05-01,Australia,active
178,Customer_00178,2023-02-01,Australia,active
179,Customer_00179,2023-08-01,United States,active
180,Customer_00180,2023-07-01,United States,active
181,Customer_00181,2023-09-01,Australia,churned
182,Customer_00182,2023-07-01,United States,active
183,Customer_00183,2023-12-01,Egypt,active
184,Customer_00184,2024-03-01,Egypt,active
185,Customer_00185,2023-01-01,United States,active
186,Customer_00186,2023-01-01,India,churned
187,Customer_00187,2023-06-01,India,active
188,Customer_00188,2023-05-01,,active
189,Customer_00189,2023-02-01,India,active
190,Customer_00190,2024-06-01,India,active
191,Customer_00191,2023-02-01,India,active
192,Customer_00192,2024-06-01,Australia,churned
193,Customer_00193,2023-02-01,United States,active
194,Customer_00194,2024-01-01,United States,active
195,Customer_00195,2023-08-01,United Kingdom,active
196,Customer_00196,2023-12-01,Germany,churned
197,Customer_00197,2023-11-01,,active
198,Customer_00198,2023-05-01,United Kingdom,active
199,Customer_00199,2023-03-01,Germany,active
200,Customer_00200,2024-06-01,United Kingdom,active
201,Customer_00201,2024-03-01,Canada,active
202,Customer_00202,2024-04-01,Egypt,active
203,Customer_00203,2024-01-01,Egypt,active
204,Customer_00204,2023-11-01,UAE,active
205,Customer_00205,2024-06-01,Egypt,active
206,Customer_00206,2023-04-01,Canada,active
207,Customer_00207,2024-01-01,Australia,active
208,Customer_00208,2023-05-01,UAE,active
209,Customer_00209,2024-02-01,UAE,active
210,Customer_00210,2023-08-01,Egypt,active
211,Customer_00211,2023-09-01,Egypt,active
212,Customer_00212,2023-07-01,United Kingdom,churned
213,Customer_00213,2023-12-01,Canada,active
214,Customer_00214,2023-02-01,United States,active
215,Customer_00215,2024-04-01,Australia,active
216,Customer_00216,2023-09-01,United States,active
217,Customer_00217,2024-08-01,Australia,active
218,Customer_00218,2023-09-01,Canada,churned
219,Customer_00219,2023-03-01,United States,active
220,Customer_00220,2023-06-01,Canada,active
221,Customer_00221,2023-10-01,Egypt,active
222,Customer_00222,2023-08-01,United States,churned
223,Customer_00223,2023-06-01,UAE,active
224,Customer_00224,2023-07-01,Egypt,active
225,Customer_00225,2024-03-01,United Kingdom,active
226,Customer_00226,2023-08-01,United Kingdom,active
227,Customer_00227,2023-04-01,India,active
228,Customer_00228,2024-01-01,Canada,active
229,Customer_00229,2024-03-01,United Kingdom,active
230,Customer_00230,2023-10-01,United States,active
231,Customer_00231,2024-03-01,Germany,active
232,Customer_00232,2023-04-01,India,active
233,Customer_00233,2023-03-01,India,churned
234,Customer_00234,2024-04-01,Australia,active
235,Customer_00235,2024-04-01,Germany,active
236,Customer_00236,2023-11-01,India,active
237,Customer_00237,2023-10-01,Egypt,active
238,Customer_00238,2023-10-01,Canada,active
239,Customer_00239,2023-05-01,Germany,active
240,Customer_00240,2024-03-01,United States,active
241,Customer_00241,2023-08-01,Germany,active
242,Customer_00242,2024-04-01,United States,active
243,Customer_00243,2023-09-01,Germany,active
244,Customer_00244,2024-05-01,Canada,active
245,Customer_00245,2024-05-01,United States,active
246,Customer_00246,2024-05-01,India,churned
247,Customer_00247,2023-06-01,United Kingdom,active
248,Customer_00248,2024-02-01,United States,active
249,Customer_00249,2024-04-01,Egypt,active
250,Customer_00250,2024-03-01,United Kingdom,active
251,Customer_00251,2024-06-01,India,active
252,Customer_00252,2023-04-01,United States,active
253,Customer_00253,2024-02-01,United States,active
254,Customer_00254,2024-02-01,Canada,active
255,Customer_00255,2023-08-01,Egypt,active
256,Customer_00256,2023-06-01,Egypt,active
257,Customer_00257,2023-12-01,Egypt,active
258,Customer_00258,2023-06-01,UAE,active
259,Customer_00259,2023-12-01,Egypt,churned
260,Customer_00260,2023-03-01,United States,active
261,Customer_00261,2023-08-01,Canada,active
262,Customer_00262,2023-08-01,India,active
263,Customer_00263,2024-03-01,Egypt,active
264,Customer_00264,2023-01-01,Australia,active
265,Customer_00265,2023-08-01,Egypt,active
266,Customer_00266,2024-02-01,Australia,active
267,Customer_00267,2023-10-01,Germany,active
268,Customer_00268,2024-03-01,United States,active
269,Customer_00269,2024-06-01,Egypt,active
270,Customer_00270,2024-04-01,Canada,active
271,Customer_00271,2023-07-01,Australia,active
272,Customer_00272,2023-03-01,India,active
273,Customer_00273,2023-02-01,Egypt,active
274,Customer_00274,2024-01-01,Australia,active
275,Customer_00275,2023-03-01,UAE,active
276,Customer_00276,2024-05-01,Canada,active
277,Customer_00277,2023-12-01,Australia,active
278,Customer_00278,2023-01-01,United States,churned
279,Customer_00279,2024-04-01,United States,churned
280,Customer_00280,2023-04-01,UAE,active
281,Customer_00281,2024-08-01,Canada,active
282,Customer_00282,2023-06-01,Australia,active
283,Customer_00283,2023-12-01,Australia,active
284,Customer_00284,2023-10-01,United States,churned
285,Customer_00285,2023-08-01,Egypt,active
286,Customer_00286,2023-04-01,United States,active
287,Customer_00287,2023-02-01,Canada,active
288,Customer_00288,2023-11-01,United States,active
289,Customer_00289,2024-08-01,Egypt,active
