invoice_id,invoice_number,customer_id,subscription_id,billing_month,invoice_date,amount,tax_rate_pct
1,INV-202311-00001,1,1,2023-11,2023-11-03,30.45,5.0
2,INV-202312-00001,1,1,2023-12,2023-12-01,30.45,5.0
3,INV-202401-00001,1,1,2024-01,2024-01-01,30.45,5.0
4,INV-202402-00001,1,1,2024-02,2024-02-02,30.45,5.0
5,INV-202403-00001,1,1,2024-03,2024-03-01,30.45,5.0
6,INV-202404-00001,1,1,2024-04,2024-04-02,30.45,5.0
7,INV-202405-00001,1,1,2024-05,2024-05-03,30.45,5.0
8,INV-202406-00001,1,1,2024-06,2024-06-03,30.45,5.0
9,INV-202407-00001,900001,900001,2024-07,2024-10-11,30.45,5.0
10,INV-202408-00001,1,1,2024-08,2024-08-03,30.45,5.0
11,INV-202409-00001,1,1,2024-09,2024-09-02,30.45,5.0
12,INV-202410-00001,1,1,2024-10,2024-10-02,30.45,5.0
13,INV-202411-00001,1,1,2024-11,2024-11-03,30.45,5.0
14,INV-202412-00001,1,1,2024-12,2024-12-01,30.45,5.0
15,INV-202401-00002,2,2,2024-01,2024-01-03,82.95,5.0
16,INV-202402-00002,2,2,2024-02,2024-02-03,82.95,5.0
17,INV-202403-00002,2,2,2024-03,2024-03-02,82.95,5.0
18,INV-202404-00002,2,2,2024-04,2024-04-01,82.95,5.0
19,INV-202405-00002,2,2,2024-05,2024-05-03,82.95,5.0
20,INV-202406-00002,2,2,2024-06,2024-06-01,82.95,5.0
21,INV-202407-00002,2,2,2024-07,2024-07-01,82.95,5.0
22,INV-202408-00002,2,2,2024-08,2024-08-02,82.95,5.0
23,INV-202409-00002,2,2,2024-09,2024-09-01,82.95,5.0
24,INV-202410-00002,2,2,2024-10,2024-10-03,82.95,5.0
25,INV-202411-00002,2,2,2024-11,2024-11-01,82.95,5.0
26,INV-202412-00002,2,2,2024-12,2024-12-02,82.95,5.0
27,INV-202307-00003,3,3,2023-07,2023-07-03,82.95,5.0
28,INV-202308-00003,3,3,2023-08,2023-08-02,82.95,5.0
29,INV-202309-00003,3,3,2023-09,2023-09-03,82.95,5.0
30,INV-202310-00003,3,3,2023-10,2023-10-03,82.95,5.0
31,INV-202311-00003,3,3,2023-11,2023-11-01,82.95,5.0
32,INV-202312-00003,3,3,2023-12,2023-12-01,82.95,5.0
33,INV-202401-00003,3,3,2024-01,2024-01-03,82.95,5.0
34,INV-202402-00003,3,3,2024-02,2024-02-02,82.95,5.0
35,INV-202403-00003,3,3,2024-03,2024-03-02,82.95,5.0
