payment_id,invoice_id,payment_date,amount_paid
1,7557,2023-11-04,30.45
2,18297,2024-08-10,9.45
3,8244,2023-12-12,30.45
4,12624,2023-10-03,30.45
5,16757,2024-11-08,9.45
6,4101,2023-08-02,82.95
7,5900,2024-11-11,82.95
8,2504,2024-02-08,9.45
9,19386,2023-03-07,30.45
10,7786,2023-09-06,30.45
11,18477,2024-02-09,9.45
12,18461,2024-10-05,30.45
13,6853,2024-07-09,82.95
14,10726,2024-09-06,9.45
15,14288,2024-05-04,9.45
16,1949,2024-02-08,82.95
17,848,2024-04-06,30.45
18,8285,2024-10-07,82.95
19,2844,2023-08-10,9.45
20,9303,2024-10-01,30.45
21,3537,2024-12-08,9.45
22,13767,2024-09-07,9.45
23,7643,2024-12-05,9.45
24,17964,2024-06-10,30.45
25,17934,2024-12-06,9.45
26,12111,2024-05-01,30.45
27,13136,2024-07-01,30.45
28,13609,2024-02-12,82.95
29,8250,2024-06-04,30.45
30,19802,2024-10-03,30.45
31,6393,2023-11-04,82.95
32,19815,2024-04-03,30.45
33,5903,2023-11-10,30.45
34,18673,2023-09-03,82.95
35,5770,2023-10-04,30.45
36,19221,2024-07-06,82.95
37,14904,2024-08-08,30.45
38,16276,2023-06-11,9.45
39,14607,2024-02-11,208.95
40,13482,2024-03-09,9.45
41,16412,2024-09-11,9.45
42,6935,2024-02-04,9.45
43,8208,2023-05-02,9.45
44,18303,2023-09-05,30.45
45,11557,2024-08-09,9.45
46,6857,2024-11-07,82.95
47,4149,2023-08-04,30.45
48,15398,2024-11-06,9.45
49,14943,2024-08-05,9.45
50,5357,2023-09-08,82.95
51,13219,2024-10-05,30.45
52,18123,2024-04-03,30.45
53,15157,2023-06-08,208.95
54,255,2024-10-07,208.95
55,18332,2023-10-05,9.45
56,18921,2024-11-02,30.45
57,20072,,30.45
58,14707,2024-06-09,9.45
59,13657,2024-09-04,9.45
60,7401,2023-09-04,9.45
61,19706,2024-01-08,9.45
62,1680,2024-08-05,30.45
63,2275,2023-09-09,9.45
64,14125,2024-03-10,30.45
65,3022,2023-08-06,30.45
66,15245,2024-08-03,30.45
67,20254,2023-08-24,82.95
68,10824,2023-07-11,30.45
69,1045,2023-08-10,208.95
70,8667,2024-04-02,9.45
71,5235,2023-08-05,9.45
72,17840,2023-12-02,30.45
73,16261,2024-09-07,208.95
74,1288,2023-11-05,9.45
75,20257,2023-08-02,502.49
76,18723,2024-03-10,82.95
77,12405,2024-12-06,208.95
78,9392,2024-12-09,9.45
79,5026,2024-05-08,9.45
80,11421,2024-11-06,9.45
81,14872,2024-04-10,9.45
82,14655,2023-07-05,9.45
83,19467,2023-11-06,208.95
84,7957,2023-12-02,30.45
85,17867,2024-02-06,30.45
86,14016,2024-01-07,9.45
87,8870,2024-06-03,9.45
88,14171,2023-06-11,82.95
89,16795,2024-10-10,9.45
90,16356,2024-05-05,82.95
91,16824,2024-10-07,82.95
92,16114,2024-10-02,9.45
93,9750,2024-05-02,30.45
94,5638,2023-11-06,30.45
95,17769,2024-11-07,82.95
96,4312,2023-12-01,82.95
97,1274,2024-09-09,9.45
98,2877,2023-09-10,30.45
99,1253,2024-05-10,82.95
100,5483,2024-11-05,9.45
101,11109,2024-05-08,9.45
102,2214,2023-12-03,30.45
103,8248,2024-04-10,30.45
104,15336,2023-04-03,30.45
105,11863,2023-09-09,30.45
106,13664,2024-05-03,9.45
107,4532,2023-12-11,30.45
108,6949,2023-07-07,30.45
109,7952,2023-07-06,30.45
110,14589,2024-05-07,30.45
111,9239,2023-10-05,30.45
112,5278,2024-05-09,9.45
113,609,2024-04-04,30.45
114,7500,2024-10-03,82.95
115,10957,2024-04-06,82.95
116,13492,2023-12-12,82.95
117,1768,2024-11-03,30.45
118,18076,2024-05-04,30.45
119,10180,2024-07-07,9.45
120,517,2024-09-03,82.95
121,8617,2023-01-01,82.95
122,14525,2024-08-06,30.45
123,17153,2024-08-02,208.95
124,6429,2024-04-07,82.95
125,2139,2024-12-04,30.45
126,7846,2024-07-07,82.95
127,7039,2023-07-11,30.45
128,6627,2024-10-08,30.45
129,20290,2024-06-11,9.45
130,9208,2023-11-10,9.45
131,12756,2024-02-01,9.45
132,7485,2024-03-08,30.45
133,8745,2023-12-03,30.45
134,2446,2023-05-11,82.95
135,17873,2024-08-09,30.45
136,17650,2024-09-02,82.95
137,6796,2024-10-07,30.45
138,9891,2023-11-08,9.45
139,1894,2024-04-09,30.45
140,14020,2024-05-01,9.45
141,14964,2024-05-08,82.95
142,12769,2024-08-06,9.45
143,7946,2024-09-10,9.45
144,18773,2024-12-11,9.45
145,16892,2024-08-03,9.45
146,16355,2024-04-01,82.95
147,8096,2024-05-07,208.95
148,1001,2023-12-06,30.45
149,15352,2024-08-07,30.45
150,7011,2024-09-09,82.95
151,19344,2024-11-06,9.45
152,10213,2023-09-11,30.45
153,9412,2024-05-09,30.45
154,5652,2024-03-10,30.45
155,8968,2023-04-09,30.45
