subscription_id,customer_id,plan_id,start_date,end_date
1,1,2,2023-11-01,
2,2,3,2024-01-01,
3,3,3,2023-07-01,
4,4,1,2024-03-01,
5,5,1,2024-06-01,
6,6,3,2023-03-01,
7,7,1,2023-03-01,2023-09-01
8,8,3,2023-04-01,
9,9,3,2023-07-01,2024-06-01
10,10,2,2023-07-01,
11,11,1,2024-04-01,
12,12,1,2023-06-01,2024-08-01
13,13,1,2024-06-01,
14,14,2,2024-04-01,
15,15,2,2024-07-01,
16,16,2,2024-08-01,
17,17,4,2023-02-01,
18,18,3,2024-02-01,
19,19,2,2024-06-01,
20,20,4,2023-01-01,
21,21,1,2023-04-01,
22,22,1,2023-06-01,2023-12-01
23,23,2,2023-05-01,
24,24,1,2024-05-01,
25,25,1,2023-03-01,
26,26,2,2024-07-01,
27,27,2,2023-08-01,2024-07-01
28,28,3,2023-12-01,2024-08-01
29,29,2,2023-09-01,
30,30,2,2023-07-01,
31,31,2,2024-06-01,
32,32,1,2023-08-01,2024-06-01
33,33,1,2024-08-01,
34,34,1,2024-01-01,2024-06-01
35,35,2,2023-08-01,
36,36,1,2024-06-01,
37,37,1,2023-06-01,
38,38,1,2023-07-01,2023-09-01
39,39,3,2024-06-01,
40,40,1,2023-04-01,2024-02-01
41,41,1,2024-06-01,
42,42,3,2023-01-01,
43,43,2,2023-01-01,
44,44,3,2023-03-01,
45,45,2,2024-01-01,
46,46,3,2024-06-01,
47,47,1,2024-05-01,
48,48,2,2024-01-01,
49,49,2,2024-01-01,
50,50,3,2024-08-01,
51,51,1,2024-07-01,
52,52,2,2023-02-01,2023-09-01
53,53,1,2023-12-01,
54,54,1,2023-08-01,
55,55,1,2023-03-01,
56,56,1,2024-04-01,
57,57,3,2023-11-01,
58,58,1,2024-02-01,
59,59,4,2023-11-01,2024-11-01
60,60,2,2023-02-01,
61,61,2,2024-06-01,
62,62,2,2023-09-01,
63,63,2,2023-05-01,
64,64,1,2024-01-01,
65,65,2,2023-07-01,
66,66,1,2024-02-01,
67,67,2,2023-11-01,
68,68,1,2023-10-01,
69,69,4,2023-02-01,
70,70,1,2023-04-01,
71,71,2,2024-06-01,2024-10-01
72,72,1,2024-08-01,
73,73,3,2023-12-01,2024-11-01
74,74,2,2023-10-01,2024-06-01
75,75,1,2023-04-01,
76,76,3,2024-03-01,
77,77,4,2024-01-01,
78,78,3,2023-11-01,2024-03-01
79,79,2,2023-06-01,
80,80,1,2023-02-01,
81,81,1,2024-08-01,
82,82,4,2023-05-01,
83,83,2,2024-02-01,
84,84,1,2023-02-01,
85,85,3,2024-02-01,
86,86,2,2023-04-01,
87,87,2,2024-02-01,
88,88,1,2023-05-01,
89,89,2,2023-10-01,2024-07-01
90,90,1,2023-09-01,
91,91,1,2023-11-01,
92,92,3,2023-07-01,2024-01-01
93,93,2,2023-07-01,
94,94,2,2023-08-01,
95,95,1,2024-01-01,
96,96,3,2024-05-01,
97,97,1,2023-08-01,
98,98,1,2023-01-01,
99,99,1,2023-04-01,
100,100,1,2023-03-01,
101,101,4,2024-01-01,
102,102,2,2024-05-01,
103,103,2,2023-05-01,2024-02-01
104,104,2,2023-11-01,
105,105,3,2023-10-01,
106,106,1,2023-09-01,
107,107,2,2024-06-01,2024-09-01
108,108,2,2023-06-01,
