flag_id,detected_at,scope,reference_key,metric_value,method,score,description
4803,2026-09-18 17:31:25.532255,invoice_iqr,16707,208.95,iqr,15.7500,Invoice 16707 (customer 1229) outside IQR fences
4904,2026-09-18 17:31:25.532255,invoice_iqr,18694,208.95,iqr,15.7500,Invoice 18694 (customer 1376) outside IQR fences
4905,2026-09-18 17:31:25.532255,invoice_iqr,18695,208.95,iqr,15.7500,Invoice 18695 (customer 1376) outside IQR fences
4906,2026-09-18 17:31:25.532255,invoice_iqr,18696,208.95,iqr,15.7500,Invoice 18696 (customer 1376) outside IQR fences
4907,2026-09-18 17:31:25.532255,invoice_iqr,18697,208.95,iqr,15.7500,Invoice 18697 (customer 1376) outside IQR fences
4908,2026-09-18 17:31:25.532255,invoice_iqr,18698,208.95,iqr,15.7500,Invoice 18698 (customer 1376) outside IQR fences
4909,2026-09-18 17:31:25.532255,invoice_iqr,18733,208.95,iqr,15.7500,Invoice 18733 (customer 1379) outside IQR fences
4910,2026-09-18 17:31:25.532255,invoice_iqr,18734,208.95,iqr,15.7500,Invoice 18734 (customer 1379) outside IQR fences
4911,2026-09-18 17:31:25.532255,invoice_iqr,18735,208.95,iqr,15.7500,Invoice 18735 (customer 1379) outside IQR fences
4912,2026-09-18 17:31:25.532255,invoice_iqr,18736,208.95,iqr,15.7500,Invoice 18736 (customer 1379) outside IQR fences
4913,2026-09-18 17:31:25.532255,invoice_iqr,18737,2207.18,iqr,2013.9800,Invoice 18737 (customer 1379) outside IQR fences
4914,2026-09-18 17:31:25.532255,invoice_iqr,18738,208.95,iqr,15.7500,Invoice 18738 (customer 1379) outside IQR fences
4915,2026-09-18 17:31:25.532255,invoice_iqr,18739,208.95,iqr,15.7500,Invoice 18739 (customer 1379) outside IQR fences
4916,2026-09-18 17:31:25.532255,invoice_iqr,18810,208.95,iqr,15.7500,Invoice 18810 (customer 1385) outside IQR fences
4917,2026-09-18 17:31:25.532255,invoice_iqr,18811,208.95,iqr,15.7500,Invoice 18811 (customer 1385) outside IQR fences
4918,2026-09-18 17:31:25.532255,invoice_iqr,18812,208.95,iqr,15.7500,Invoice 18812 (customer 1385) outside IQR fences
4919,2026-09-18 17:31:25.532255,invoice_iqr,18813,208.95,iqr,15.7500,Invoice 18813 (customer 1385) outside IQR fences
4920,2026-09-18 17:31:25.532255,invoice_iqr,18814,208.95,iqr,15.7500,Invoice 18814 (customer 1385) outside IQR fences
4921,2026-09-18 17:31:25.532255,invoice_iqr,18815,208.95,iqr,15.7500,Invoice 18815 (customer 1385) outside IQR fences
4922,2026-09-18 17:31:25.532255,invoice_iqr,19066,208.95,iqr,15.7500,Invoice 19066 (customer 1405) outside IQR fences
4923,2026-09-18 17:31:25.532255,invoice_iqr,19067,208.95,iqr,15.7500,Invoice 19067 (customer 1405) outside IQR fences
4924,2026-09-18 17:31:25.532255,invoice_iqr,19069,208.95,iqr,15.7500,Invoice 19069 (customer 1405) outside IQR fences
4925,2026-09-18 17:31:25.532255,invoice_iqr,19070,208.95,iqr,15.7500,Invoice 19070 (customer 1405) outside IQR fences
4926,2026-09-18 17:31:25.532255,invoice_iqr,19071,208.95,iqr,15.7500,Invoice 19071 (customer 1405) outside IQR fences
4927,2026-09-18 17:31:25.532255,invoice_iqr,19072,208.95,iqr,15.7500,Invoice 19072 (customer 1405) outside IQR fences
4928,2026-09-18 17:31:25.532255,invoice_iqr,19073,208.95,iqr,15.7500,Invoice 19073 (customer 1405) outside IQR fences
4929,2026-09-18 17:31:25.532255,invoice_iqr,19074,208.95,iqr,15.7500,Invoice 19074 (customer 1405) outside IQR fences
4930,2026-09-18 17:31:25.532255,invoice_iqr,19075,208.95,iqr,15.7500,Invoice 19075 (customer 1405) outside IQR fences
4931,2026-09-18 17:31:25.532255,invoice_iqr,19383,283.80,iqr,90.6000,Invoice 19383 (customer 1424) outside IQR fences
4932,2026-09-18 17:31:25.532255,invoice_iqr,19398,213.11,iqr,19.9100,Invoice 19398 (customer 1425) outside IQR fences
4933,2026-09-18 17:31:25.532255,invoice_iqr,19408,208.95,iqr,15.7500,Invoice 19408 (customer 1426) outside IQR fences
4934,2026-09-18 17:31:25.532255,invoice_iqr,19409,208.95,iqr,15.7500,Invoice 19409 (customer 1426) outside IQR fences
4935,2026-09-18 17:31:25.532255,invoice_iqr,19410,208.95,iqr,15.7500,Invoice 19410 (customer 1426) outside IQR fences
4936,2026-09-18 17:31:25.532255,invoice_iqr,19411,208.95,iqr,15.7500,Invoice 19411 (customer 1426) outside IQR fences
4937,2026-09-18 17:31:25.532255,invoice_iqr,19412,208.95,iqr,15.7500,Invoice 19412 (customer 1426) outside IQR fences
4938,2026-09-18 17:31:25.532255,invoice_iqr,19462,208.95,iqr,15.7500,Invoice 19462 (customer 1431) outside IQR fences
4939,2026-09-18 17:31:25.532255,invoice_iqr,19463,208.95,iqr,15.7500,Invoice 19463 (customer 1431) outside IQR fences
